                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.59503,                0.51491,                 1.0509,                0.77389,                0.68313,                 0.7011,                0.50717,                0.90713,                0.95723,                 1.4631,             0.00019807,             0.00019807,             0.00019807
                     81,                0.58261,                0.49222,                  1.036,                0.80901,                0.67258,                0.68747,                0.50332,                0.89117,                  0.861,                 1.4179,             0.00018907,             0.00018907,             0.00018907
                     82,                0.56838,                0.48521,                 1.0317,                0.86222,                0.61395,                0.70927,                0.51786,                0.89034,                0.97182,                 1.4581,             0.00018007,             0.00018007,             0.00018007
                     83,                0.56588,                0.48394,                 1.0326,                0.71731,                0.70819,                0.66119,                0.49069,                 0.8758,                0.91948,                 1.4558,             0.00017107,             0.00017107,             0.00017107
                     84,                0.56635,                0.47769,                 1.0361,                0.77302,                0.61962,                0.68625,                 0.4976,                 0.8787,                0.92732,                   1.43,             0.00016207,             0.00016207,             0.00016207
                     85,                0.56623,                0.47375,                 1.0308,                0.81394,                0.59972,                0.68368,                0.49719,                0.92269,                0.96845,                 1.4854,             0.00015308,             0.00015308,             0.00015308
                     86,                0.54034,                0.44605,                 1.0165,                 0.7695,                0.70918,                0.69444,                0.50536,                 0.8941,                0.88159,                 1.4729,             0.00014408,             0.00014408,             0.00014408
                     87,                0.54453,                  0.452,                 1.0131,                0.77937,                0.70447,                0.69618,                0.50423,                0.89194,                  0.848,                 1.4814,             0.00013508,             0.00013508,             0.00013508
                     88,                0.54405,                0.46113,                 1.0223,                0.70241,                 0.7419,                  0.701,                0.51201,                0.88957,                0.89134,                 1.4656,             0.00012608,             0.00012608,             0.00012608
                     89,                0.53488,                 0.4419,                 1.0201,                0.82063,                0.69516,                0.72982,                0.52171,                0.88848,                0.86049,                 1.4657,             0.00011708,             0.00011708,             0.00011708
                     90,                0.53099,                0.43876,                 1.0149,                0.71321,                0.68861,                0.69476,                0.50182,                0.86768,                0.89168,                 1.4212,             0.00010808,             0.00010808,             0.00010808
                     91,                0.48092,                0.32534,                0.96456,                0.72844,                0.69796,                0.66766,                0.48661,                0.90984,                0.94698,                 1.5029,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.45595,                0.29494,                0.95051,                0.70624,                0.71395,                0.66717,                0.49229,                0.86578,                0.87355,                 1.4686,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.45014,                0.28175,                0.94244,                0.77842,                0.58862,                0.66765,                0.49941,                0.87064,                0.89057,                 1.4566,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.43796,                0.27618,                0.93902,                0.71727,                0.70969,                0.67202,                0.49803,                 0.8661,                0.86913,                 1.4722,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.43237,                0.27383,                0.93107,                0.78123,                0.67578,                0.69812,                0.50627,                0.86578,                0.90739,                 1.4731,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.42644,                0.26795,                 0.9306,                0.74021,                0.67354,                0.66969,                 0.4925,                0.88656,                0.91283,                 1.4956,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.42988,                0.27276,                 0.9311,                0.75318,                0.66178,                0.66873,                0.49883,                 0.8818,                0.93089,                 1.5055,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.42017,                0.26516,                0.93273,                0.76421,                0.65953,                0.67226,                0.50052,                0.89019,                0.94549,                 1.5151,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.41526,                0.25989,                0.92475,                0.75309,                0.67113,                0.66927,                0.49961,                0.87428,                0.93299,                 1.4914,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.41457,                0.25794,                0.92001,                0.75868,                0.66595,                  0.694,                0.50772,                0.87003,                 0.9286,                 1.4808,             1.8089e-05,             1.8089e-05,             1.8089e-05
